id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views
7Ln44dzkPm27Hi9cJApshq,Abou elouyoun,El Hachemi Guerouabi,8,1,5,453266,0.319,-8.211,0.499,0.00714,0.898,0.441,0.0428,117.356,0,1422
18DqGAa2ZtILWRcg7tdmfU,Aand lala sahranin,El Hachemi Guerouabi,8,1,4,518520,0.29,-6.803,0.689,0.017,0.847,0.728,0.0414,70.844,0,37118
351bL0ZTW2sXYYvkT3Skeo,Aachki fi khnatha,El Hachemi Guerouabi,8,1,4,358000,0.408,-7.949,0.845,0.683,0.335,0.204,0.061,109.006,0,400
05KrsM3dNdrIZlctHpDz72,Elmadi rani ghlakt babou,El Hachemi Guerouabi,3,0,4,486000,0.369,-9.571,0.717,0.12,0.148,0.399,0.0546,113.081,0,864525
2nkHrQam3Faabkw6jxkZhT,Charaa elah maak,El Hachemi Guerouabi,1,1,3,433000,0.35,-9.359,0.679,0.0786,0.334,0.481,0.0513,139.793,0,317
5ZB4fkbOxOyoIy2eEP81tA,El mektoub / Mohamed ya tayeb edikr - Enchainer,El Hachemi Guerouabi,4,0,4,774000,0.432,-10.32,0.586,0.0576,0.143,0.746,0.0369,105.938,0,274
5Yslx97NeerFN1WroVQPk7,Nseblek / El barah - Enchainer,El Hachemi Guerouabi,2,0,4,941000,0.453,-8.87,0.588,0.0326,0.167,0.726,0.0538,115.615,0,332
3pVNqmVnJBPJZOlwInrn10,Sidi menyeshel,El Hachemi Guerouabi,9,1,5,341000,0.356,-8.467,0.489,4.82e-05,0.209,0.837,0.0415,155.841,0,233
5wK3YfGuSZhsEkQOwLv0BH,Lilah naoui chalah entoub / Goulou ness - Enchainer,El Hachemi Guerouabi,7,1,4,543000,0.482,-7.696,0.687,0.00163,0.279,0.746,0.0453,102.059,0,218
26av9YfzaRjxMxPTg02pZZ,Yal warka,El Hachemi Guerouabi,0,0,4,286000,0.565,-7.948,0.649,0.0114,0.402,0.89,0.0343,101.85,0,2316271
1Vht1UFbrIQkIGkl3lIOPR,Rahou m'kader,El Hachemi Guerouabi,6,0,4,283000,0.598,-14.365,0.373,0.937,0.136,0.672,0.21,126.793,0,96
5Ltcon40dUGpwtI9kWdxrA,Adjib,El Hachemi Guerouabi,3,1,5,316000,0.518,-14.233,0.401,0.906,0.162,0.847,0.153,138.542,0,2006
5dWT9itHZwPilszkrRkZov,Enta houa sbabi,Dahmane El Harrachi,2,1,4,405106,0.553,-8.832,0.572,0.00158,0.133,0.783,0.0402,110.495,0,34636
2aNKlQRz14RWRvCOkISreB,Ya nass el hob fnami,Dahmane El Harrachi,3,1,4,375106,0.675,-5.876,0.711,0.00026,0.188,0.885,0.034,116.282,0,363
04cJyvi3XeqE6kKlg9MgVQ,Ma bini ou binek ghir el khir,Dahmane El Harrachi,2,1,4,348146,0.562,-7.818,0.628,0.0,0.305,0.802,0.031,155.353,0,10700
5g4RwROSuiGSwJLIMEh5KA,Rabbi blani bettassa,Dahmane El Harrachi,2,1,4,337653,0.59,-7.624,0.566,9.3e-06,0.115,0.841,0.0397,92.375,0,2512533
1L5Sxj3XgVTes19T6hDlk3,Yelli athab taamal sport,Dahmane El Harrachi,4,0,4,330186,0.645,-7.269,0.647,1.22e-05,0.0341,0.925,0.0317,104.753,0,673
4FkcR9VRAyXNqR0E7Giddh,Gallouli alik enasse,Dahmane El Harrachi,2,1,4,293960,0.58,-7.432,0.677,0.000797,0.299,0.851,0.0434,112.114,0,21972
1ie3W516hT2zgXFFRzp4MS,Enaaa bel faail tafkhar,Dahmane El Harrachi,2,1,4,272080,0.657,-9.137,0.709,0.00586,0.104,0.88,0.06,121.284,0,6768
0zCLF47tmT4yDo5qMYSknG,Khlass anna wiyak,Dahmane El Harrachi,1,0,4,442653,0.407,-10.169,0.65,0.00528,0.268,0.726,0.0358,108.225,0,24636
7dBA4VPQg0XUPIx5h0QblA,Gouli waaleche djit liya,Dahmane El Harrachi,1,1,4,335160,0.573,-7.093,0.664,0.0,0.336,0.828,0.05,108.042,0,3281
266lgcNcEHmr12Pi5PqCp5,Ma yesthass beljamra,Dahmane El Harrachi,6,0,3,353280,0.403,-10.399,0.498,0.00146,0.214,0.881,0.0568,173.365,0,4410
66UF9G5a8bbO3PWSxkGWry,Ghab aliya,Dahmane El Harrachi,7,1,4,295933,0.473,-10.83,0.385,6.08e-05,0.232,0.73,0.0409,105.382,0,876
7ui1qDxykvD1smqQFItoZJ,Ghir el barah,Dahmane El Harrachi,8,1,4,319933,0.594,-9.285,0.439,0.00185,0.114,0.594,0.0435,95.531,0,1348
1JymPPw7THGBsyaa2XyeE6,Mazal lahlal iban,Dahmane El Harrachi,10,1,4,1159746,0.47,-9.111,0.537,0.0983,0.11,0.772,0.0474,113.173,0,962
16zNGd0B2ErEDno8IeSwHW,Ensser ma yetraba,Dahmane El Harrachi,10,1,4,421733,0.615,-8.925,0.552,0.572,0.122,0.882,0.0318,106.546,0,123549
2f4MjfFGHc5E7HYqs00lm8,Ya rabbi ya sattar,Dahmane El Harrachi,2,1,4,293080,0.659,-9.361,0.636,0.000801,0.294,0.761,0.0312,108.921,0,299981
2Bx8Wgv4GtVhS4uuQxtbns,Kablouni rabaa riah,Dahmane El Harrachi,2,1,4,348146,0.56,-7.818,0.627,0.0,0.305,0.812,0.0309,155.366,0,12172
25j3xYQyQgvv8YLpC3M9we,Sidi rabi ouach qal,Dahmane El Harrachi,2,1,4,337653,0.589,-7.619,0.565,9.73e-06,0.138,0.834,0.0398,92.243,0,10283
5hUg3W34bbTtglzHIeI8Hi,Ladou fel klam,Dahmane El Harrachi,4,0,4,330186,0.646,-7.269,0.647,1.2e-05,0.0341,0.926,0.0317,104.763,0,8727
1izhgCQOw7nHXn1kJux3Sk,Dhira fniya,Dahmane El Harrachi,2,1,4,293960,0.582,-7.432,0.677,0.00082,0.299,0.852,0.0435,112.118,0,7149
57k2wj3gHPKNp4nemGA5dt,Yal ghalet,Dahmane El Harrachi,2,1,4,272080,0.658,-9.137,0.709,0.0058,0.104,0.881,0.0596,121.312,0,19483
6klYbcZjgehSONMhtWcrdq,El aabd el maghiare,Dahmane El Harrachi,1,0,4,442653,0.409,-10.169,0.65,0.00529,0.268,0.726,0.0358,108.218,0,5896
23iBAfiET4ObKofTva1PtS,Dak ezzine ala slamtou,Dahmane El Harrachi,0,0,4,315186,0.593,-7.521,0.603,0.000147,0.232,0.768,0.0608,116.728,0,71775
1gOSTw7oxr0twichFoVs1h,Saadi khallani rah,Dahmane El Harrachi,5,1,4,395880,0.621,-9.739,0.583,0.00213,0.102,0.94,0.0381,101.166,0,6737
