id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
0qN2gcOMGgu6a0P77pnJbu,Ya rabbi toub aliya,Kamel Messaoudi,2,1,4,431733,0.574,-12.272,0.49,0.00774,0.177,0.768,0.0498,95.131,2,0,0
1E0JUB1NweE7pKjbHfA2M4,Afus Ayarac,Idir,0,1,3,215373,0.714,-9.52,0.414,4.32e-06,0.0697,0.691,0.0361,115.794,2,0,0
5dBYv5mhd3QzMZ0N71etpO,La giffle,Idir,10,1,4,345253,0.53,-8.447,0.544,0.000221,0.107,0.575,0.0443,102.876,2,0,0
5dQt1efX7gyS783ftJaj0G,Amertume et regret,Idir,5,1,4,348733,0.597,-7.692,0.7,0.000189,0.0644,0.894,0.048,106.685,2,0,0
0mfcExf4BpQ77i37PXcXki,A tamtart- sa perdition,Idir,0,1,4,397893,0.59,-10.947,0.532,0.0852,0.261,0.71,0.0367,99.961,2,0,0
1IQq52IyRSSCfHhUXQAKXs,L'ironie du sort,Idir,5,0,4,246280,0.595,-8.72,0.479,0.000192,0.0784,0.863,0.114,88.028,2,0,0
4QR4OMBdpIdnVnMF7B4Isk,Ay Izem,Idir,5,1,5,376226,0.553,-12.3,0.457,0.0,0.0745,0.808,0.0508,161.946,2,4,1
0LYYHLGJQJ9GBrDeruLv7a,Ya kamelet ezzine - Live,Kamel Messaoudi,7,0,3,204466,0.322,-5.83,0.952,0.787,0.826,0.88,0.0744,114.806,2,1,1
7JNSGTjXGMbE4v3072zP3h,8 Ma nachki chakiya - Live,Kamel Messaoudi,0,1,4,218253,0.319,-8.73,0.789,0.841,0.21,0.504,0.0457,120.398,2,1,1
6YNLIi0ptTgGhRTTmMpSZQ,Presentation des artistes - Live,Kamel Messaoudi,7,1,4,112226,0.321,-9.199,0.722,0.955,0.324,0.674,0.0365,159.257,2,21,2
6vrhbk4zzlhJK1MLDup2bO,Elle s'arrache La liberté,Idir,9,0,4,274266,0.611,-9.208,0.479,0.0294,0.367,0.8,0.071,104.091,2,0,0
1mvgTX3xaMvQfO1BpKu98D,As El Ferh,Idir,0,1,4,294893,0.308,-7.108,0.855,0.0,0.232,0.93,0.055,66.769,2,0,0
6b4bkcoGFLVUnIn0QyQxXI,Afrux,Idir,2,1,4,244426,0.547,-9.331,0.514,0.0369,0.661,0.575,0.0279,102.774,2,0,0
