id,name,main_artist,duration_ms_x,explicit,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity
3WyN9BhcoI6eg6Uh8MBaxK,Rahoum Y'goulou,Bilal Sghir,382757,False,0.597,-7.058,0.804,0.0,0.114,0.715,0.095,86.093,33
1bwYhB6sFe8rqstAVq0Okj,Frota & Coco,Cheb Djalil,195109,False,0.779,-8.298,0.566,0.0,0.0613,0.755,0.12,100.006,32
5nWCdJ8yxaMvozXCrN4Ovs,Li Yaaref Dorri,Cheb Djalil,247925,False,0.664,-4.696,0.878,0.0,0.326,0.94,0.0359,94.022,32
0gH7xXqDgLxY71oXhYJ2hH,Min Nfi9lek Di9lek,Cheb Djalil,222331,False,0.636,-7.791,0.725,2.5e-05,0.141,0.718,0.0343,92.017,32
20b8ZKzhdhyocwkjCbYo4S,Takoul Saroukh,Cheb Djalil,312167,False,0.698,-8.491,0.769,2.07e-06,0.19,0.928,0.0429,93.968,31
0whzgqpiCbi1IM4l7Gzpof,Je te quitte,Cheba Dalila,348891,False,0.468,-4.417,0.815,0.0,0.127,0.432,0.0948,171.953,31
2PugzXCk5jKRsFp0CB7Ln7,Jibouli Bogossi,Warda,254741,False,0.732,-4.697,0.885,0.0,0.173,0.854,0.0489,102.031,31
1898z8vvhqc1XNoochfCoa,Charlomanté mjam3in3liya,Warda,320087,False,0.624,-6.823,0.744,1.16e-06,0.359,0.901,0.0623,93.006,29
5DHTBBlS0gVdB3ulbbKMRw,Spera Spera,Bilal Sghir,331986,False,0.638,-3.813,0.906,0.0,0.207,0.963,0.0467,90.085,28
5ANHgnZUmsHE5rGMUGUWzp,Ki Nfi9lek Di9lek - Remix,Cheb Djalil,213919,False,0.678,-12.204,0.661,5.51e-06,0.117,0.831,0.0531,92.003,28
20xxsRXogL4MQSZqm7NZDh,علابالي قلبك حنين,Cheb Djalil,364477,False,0.525,-5.921,0.828,0.0,0.123,0.885,0.0962,179.635,28
5NbsOXZIXALtv4PIfeT8eR,Habibi,Bilal Sghir,260911,False,0.502,-7.1,0.87,0.0,0.311,0.863,0.0912,184.257,27
5s5IhnqIO0kYpySTJfKkV9,Ana Dertlah Ramasser,Warda,270008,False,0.609,-6.529,0.838,0.00058,0.398,0.58,0.0601,98.002,26
7v2iAddxQPwHspcgJbrE41,Yghirou Yghirou,Cheb Bello,272207,False,0.756,-5.456,0.846,0.0,0.172,0.901,0.0444,91.956,26
0sCIDG4PYboWVbCAxcTcje,Ça fait plaisir - Live,Bilal Sghir,363453,False,0.614,-3.556,0.917,1.42e-06,0.106,0.912,0.043,88.026,26
4e1ZD73gQp4h2FQOLEI2e4,Sentiment Bizarre,Bilal Sghir,265002,False,0.597,-3.972,0.897,0.0,0.276,0.892,0.121,167.928,25
3WN2ndKoYHd4m9KnZpHZ2N,Andi Ma Khir Menak,Warda,564976,False,0.672,-5.989,0.915,6.22e-05,0.0901,0.811,0.0886,96.006,23
1LlQmWiqXQqBsRhnnxRtV7,Reservite Ana l'avion,Cheba Dalila,243840,False,0.622,-4.632,0.893,0.0,0.367,0.87,0.0749,97.376,23
